Augment,Size,Class,f1-score
llama,2000,oppose,0.7043010752688172
llama,2000,support,0.8089005235602095
llama,2000,accuracy,0.8409090909090909
llama,2000,macro avg,0.8004641845342987
llama,2000,weighted avg,0.837768732666604
llama,200,neither,0.7969121140142518
llama,200,oppose,0.42391304347826086
llama,200,support,0.665680473372781
llama,200,accuracy,0.7140762463343109
llama,200,macro avg,0.6288352102884313
llama,200,weighted avg,0.7029913014640667
llama,5000,neither,0.8988476312419974
llama,5000,oppose,0.7473684210526316
llama,5000,support,0.8295165394402035
llama,5000,accuracy,0.8577712609970675
llama,5000,macro avg,0.8252441972449441
llama,5000,weighted avg,0.8561789024567491
llama,500,neither,0.838036809815951
llama,500,oppose,0.5677083333333334
llama,500,support,0.7450980392156863
llama,500,accuracy,0.7756598240469208
llama,500,macro avg,0.7169477274549902
llama,500,weighted avg,0.7705809815245388
qwen,1000,neither,0.8389134554643083
qwen,1000,oppose,0.47416413373860183
qwen,1000,support,0.7573529411764706
qwen,1000,accuracy,0.7705278592375366
qwen,1000,macro avg,0.6901435101264601
qwen,1000,weighted avg,0.7602707451125749
qwen,100,neither,0.7598522167487685
qwen,100,oppose,0.2222222222222222
qwen,100,support,0.6593137254901961
qwen,100,accuracy,0.6730205278592375
qwen,100,macro avg,0.5471293881537289
qwen,100,weighted avg,0.6494897842003285
qwen,2000,neither,0.8674698795180723
qwen,2000,oppose,0.6933333333333334
qwen,2000,support,0.7835051546391752
qwen,2000,accuracy,0.8196480938416423
qwen,2000,macro avg,0.7814361224968603
qwen,2000,weighted avg,0.8172156121538486
qwen,200,neither,0.78300803673938
qwen,200,oppose,0.3465045592705167
qwen,200,support,0.654490106544901
qwen,200,accuracy,0.6994134897360704
qwen,200,macro avg,0.5946675675182659
qwen,200,weighted avg,0.6801692343651878
qwen,5000,neither,0.8779552715654952
qwen,5000,oppose,0.7214854111405835
qwen,5000,support,0.7989821882951654
qwen,5000,accuracy,0.8335777126099707
qwen,5000,macro avg,0.7994742903337481
qwen,5000,weighted avg,0.831803975357681
qwen,500,neither,0.8181276088252832
qwen,500,oppose,0.4107142857142857
qwen,500,support,0.7160839160839161
qwen,500,accuracy,0.7412023460410557
qwen,500,macro avg,0.6483086035411617
qwen,500,weighted avg,0.7271974087427951
